id,name,category,claim,title,url,evidence_date,accessed,geography
amazon,Amazon / AWS,Operator,Amazon describes its proposed data-center campus in Falls Township and collaboration with NorthPoint Development.,Falls Township Innovation Campus,https://www.amazoninnovationinpa.com/falls-township-innovation-campus/,,2026-09-15,Pennsylvania
northpoint,NorthPoint Development,Developer / land,Amazon identifies NorthPoint Development as its partner in local planning and project information for the Falls Township campus.,Falls Township Innovation Campus,https://www.amazoninnovationinpa.com/falls-township-innovation-campus/,,2026-09-15,Pennsylvania
talen,Talen Energy,Power supplier,Talen announced a power purchase agreement to supply Amazon data-center operations from Susquehanna.,Talen Energy Expands Nuclear Energy Relationship with Amazon,https://ir.talenenergy.com/news-releases/news-release-details/talen-energy-expands-nuclear-energy-relationship-amazon?mobile=1,2025-06-11,2026-09-15,Pennsylvania
ppl,PPL,Power supplier,PPL and Blackstone announced a joint venture to build gas-fired generation for data centers.,PPL and Blackstone generation joint venture,https://investors.pplweb.com/2025-07-15-PPL-Corporation-and-Blackstone-Infrastructure-create-joint-venture-to-build-natural-gas-generation-in-Pennsylvania-in-support-of-data-center-development?asPDF=1,2025-07-15,2026-09-15,Pennsylvania
blackstone,Blackstone,Investor / owner,Blackstone identifies its backing of data-center operator QTS and Pennsylvania land acquisitions and investment.,Blackstone Pennsylvania digital and energy investment,https://www.blackstone.com/news/press/blackstone-to-invest-more-than-25-billion-in-pennsylvanias-digital-and-energy-infrastructure-plus-catalyze-an-additional-60-billion-investment/,2025-07-15,2026-09-15,Pennsylvania
qts,QTS,Operator / land,Blackstone states that QTS secured northeastern Pennsylvania land for data-center development.,Blackstone Pennsylvania digital and energy investment,https://www.blackstone.com/news/press/blackstone-to-invest-more-than-25-billion-in-pennsylvanias-digital-and-energy-infrastructure-plus-catalyze-an-additional-60-billion-investment/,2025-07-15,2026-09-15,Pennsylvania
constellation,Constellation Energy,Power supplier,Constellation announced a 20-year Microsoft power purchase agreement supporting the restart of Three Mile Island Unit 1.,Crane Clean Energy Center announcement,https://www.constellationenergy.com/news/2024/Constellation-to-Launch-Crane-Clean-Energy-Center-Restoring-Jobs-and-Carbon-Free-Power-to-The-Grid.html,2024-09-20,2026-09-15,Pennsylvania / PJM
microsoft,Microsoft,Operator,Microsoft agreed to purchase output from the planned restart of Three Mile Island Unit 1 to match data-center electricity consumption in PJM.,Crane Clean Energy Center announcement,https://www.constellationenergy.com/news/2024/Constellation-to-Launch-Crane-Clean-Energy-Center-Restoring-Jobs-and-Carbon-Free-Power-to-The-Grid.html,2024-09-20,2026-09-15,Pennsylvania / PJM
brookfield,Brookfield,Investor / power supplier,Brookfield and Google announced power agreements involving Pennsylvania hydroelectric facilities to support Google operations in PJM.,Brookfield and Google hydro agreement,https://bam.brookfield.com/press-releases/brookfield-and-google-sign-hydro-framework-agreement-deliver-3000-mw-homegrown,2025-07-15,2026-09-15,Pennsylvania / PJM
google,Google / Alphabet,Operator,Brookfield and Google announced power agreements involving Pennsylvania hydroelectric facilities to support Google operations in PJM.,Brookfield and Google hydro agreement,https://bam.brookfield.com/press-releases/brookfield-and-google-sign-hydro-framework-agreement-deliver-3000-mw-homegrown,2025-07-15,2026-09-15,Pennsylvania / PJM
